"Slug",":draft","Count","Title","Description","Image","Image:alt","Content"
"serving-with-care.","true","2","Serving with care","We listen first then design with intent. We dedicate our design process as form of service to our society and precious communities.","https://framerusercontent.com/images/kOGoREqbjgIQtqxkOAJ6vRXH9Y.jpg","Woman using digital design tools in a design studio","<ul><li data-preset-tag=""p""><p dir=""ltr"">Designing with empathy for the people who will use and rely on the service</p></li></ul><ul><li data-preset-tag=""p""><p dir=""ltr"">Making inclusive, accessible choices as standard — not an afterthought<br><br class=""trailing-break""></p></li><li data-preset-tag=""p""><p dir=""ltr"">Prioritising clarity, usefulness and dignity over aesthetics alone<br><br class=""trailing-break""></p></li><li data-preset-tag=""p""><p dir=""ltr"">Holding the impact on people and communities at the centre of every decision</p></li></ul>"
"kindness-wins","true","1","Human-centered","Solving problems with purpose, riding the wave of tech while keeping the essential human touch.","https://framerusercontent.com/images/JXmhZaCwSpLwPCJtn3bsvIjVo.jpg","","<p dir=""auto""><br class=""trailing-break""></p>"
"understanding-first","true","2","Understanding First","We prioritise listening over speaking to ensure we truly grasp your vision before we design.","https://framerusercontent.com/images/exn7zsvBGmYT10Ftq0npVRSnKQ.jpg","","<ul><li data-preset-tag=""p""><p dir=""ltr"">Learning from communities, service users and frontline teams</p></li></ul><ul><li data-preset-tag=""p""><p dir=""ltr"">Asking careful questions and challenging assumptions gently<br><br class=""trailing-break""></p></li><li data-preset-tag=""p""><p dir=""ltr"">Grounding decisions in insight, research and lived experience<br><br class=""trailing-break""></p></li><li data-preset-tag=""p""><p dir=""ltr"">Letting understanding guide direction — not tools or trends</p></li></ul>"
"partnering","true","4","Partnering","We don’t just work for you; we work side by side with you as a dedicated team, every step of the way.","https://framerusercontent.com/images/lwKJeXDA7WVTnvTG7A6Nkzd5Qk0.jpg","","<ul><li data-preset-tag=""p""><p dir=""ltr"">Building close, trusting relationships with the teams we work with </p></li><li data-preset-tag=""p""><p dir=""ltr"">✔️ Working as an extension of your team, not an external supplie</p><p dir=""ltr""><br class=""trailing-break""></p></li><li data-preset-tag=""p""><p dir=""ltr"">Sharing knowledge openly and making decisions together</p><p dir=""ltr""><br class=""trailing-break""></p></li><li data-preset-tag=""p""><p dir=""ltr"">Respecting lived experience, expertise and constraints</p></li></ul>"
"futures-in-mind","false","4","The Future is Today","AI is moving fast and attention spans are shrinking. We future-proof your products to ensure you stay ahead.","https://framerusercontent.com/images/By0HXw01D9ZkPIitbZvJLrQyrqs.jpg","","<p dir=""auto"">We bridge corporate ESG goals with scalable growth. By prioritising your users and your vision, we design resilient paths for a thriving tomorrow.</p>"
"serving-with-care.-copy","false","2","Excellence in Craft.","World-class execution. We build high-fidelity products that make the complex feel effortless.","https://framerusercontent.com/images/kOGoREqbjgIQtqxkOAJ6vRXH9Y.jpg","Woman using digital design tools in a design studio","<ul><li data-preset-tag=""p""><p dir=""ltr"">Designing with empathy for the people who will use and rely on the service</p></li></ul><ul><li data-preset-tag=""p""><p dir=""ltr"">Making inclusive, accessible choices as standard — not an afterthought<br><br class=""trailing-break""></p></li><li data-preset-tag=""p""><p dir=""ltr"">Prioritising clarity, usefulness and dignity over aesthetics alone<br><br class=""trailing-break""></p></li><li data-preset-tag=""p""><p dir=""ltr"">Holding the impact on people and communities at the centre of every decision</p></li></ul>"
"growing-together","false","3","Growth mindset","Cultivating a collaborative spirit where our team and our clients evolve through every project.","https://framerusercontent.com/images/zVnzmZvb9pjGJ5SgoUVHdrG2g.jpg","","<p dir=""auto""><br class=""trailing-break""></p>"
"strategic-clarity","false","1","Strategic clarity","We cut through the noise. When things are clear, you can focus on what truly matters for success.","https://framerusercontent.com/images/YBvDgFAbvXLfs5nn2ptrJgKTKrg.jpg","",""
