"Slug",":draft","Project Title","Brand colour","Sector 2","Company logo","Company logo:alt","ID","Thumbnail image","Thumbnail image:alt","Mobile thumbnail","Mobile thumbnail:alt","Scroll required","Show service design","Flip image","Featured","Span","Hero Image","Hero Image:alt","H1","Problem text","Insight header","Development image","Development image:alt","Insight text","Service design Section heading","Service design title","Service design description","Service design image","Service design image:alt","Solution Image","Solution Image:alt","Solution Header","Solution Text","Key Features","Impact Title 1","Stat 1","Project card stat (short)","Impact Title 2","Stat 2","Video","Youtube link"
"design-implementing-an-agentic-ai-lead-generation-system-using-whatsapp","true","Cledor's Agentic Ai","#09F","Commercial","","","9","https://framerusercontent.com/images/nRKdXGAUjGswJYrI2TTPxREAA6Q.png","","","","false","false","true","false","1","https://framerusercontent.com/images/fMTgHnQzVTuuGjLnrU9oG6Diymg.png","","Design & implementing an Agentic Ai Lead Generation system using Whatsapp","<p><a href=""https://www.cledor.co.uk/"" target=""_blank"">Cledor</a>, a leading provider of high-quality onsite staff (concierge, security, cleaning, etc.), built its reputation on delivering an exceptional, 5-star service, going above and beyond client expectations. However, the market has recently been challenged by larger corporations undercutting prices and absorbing costs. </p><p>To counter part of this challenge, Studio Soren and partners <a href=""https://proai.co.uk/"" target=""_blank"">Pro Ai</a> and <a href=""https://blackbeltmindset.uk/"" target=""_blank"">Blackbelt Mindset Coaching</a>, developed a strategic approach to drastically scale Cledor’s lead generation and market presence rapidly, without diluting the personal, compliant, and high-touch experience that is its core differentiator.</p>","Mapping the 'As-Is' Journey and Designing the Agentic AI Interface","https://framerusercontent.com/images/bu3PIkVsetMjpleF9l7LsHks7hk.png","Interna discovery sessions mapping the businesses As-is lead aqcuisition journey","<p>Our 3-month engagement, in collaboration with the back-end team at Pro AI, began with a deep discovery phase. We conducted a comprehensive content audit, stakeholder interviews, and workshops with the Managing Director to map the current 'as-is' lead acquisition journey and identify key pain points and moments of truth.</p><p>We then collaborated closely to design the 'to-be' user experience for an Agentic AI outreach system via WhatsApp. The MVE focused on:</p><ul><li data-preset-tag=""p""><p><a href=""https://studiosoren.com/content-design"" target=""_blank""><strong>Content Strategy</strong></a><strong>:</strong> Creating tailored, compliant message templates for the WhatsApp API, optimised for conversation initiation and leveraging Cledor's unique differentiator (the free staff shadowing/training program).</p></li><li data-preset-tag=""p""><p><strong>Compliance by Design:</strong> Embedding UK GDPR and data minimisation principles into every design flow, including transparent opt-in/opt-out mechanisms, secure data storage design (MFA/RBAC for internal users), and defining a clear lawful basis for data processing.</p></li><li data-preset-tag=""p""><p><strong>AI Safeguards:</strong> Designing system controls to prevent prompt injection and implementing output guarding mechanisms to ensure responsible, compliant, and consistently on-brand AI communication.</p></li></ul>","","","","","","https://framerusercontent.com/images/27gFOfpuV7HB1p7DajWnHmkBjM.png","Whatsapp message with Cledor branding designed for the Agentic AI system","Scaling High-Touch Communication with Smart Automation","<p>The core solution was the launch of an AI Lead Generation Platform seamlessly integrated with Cledor’s WhatsApp Business account. This agentic system was strategically designed to focus on Cledor's two main revenue generators: <a href=""https://www.cledor.co.uk/services/concierges/"" target=""_blank""><strong>24/7 Concierge</strong></a><strong> and</strong><a href=""https://www.cledor.co.uk/services/on-site-security-services/"" target=""_blank""><strong> 24/7 Security</strong></a> services.&nbsp;</p><p>We used intensive user research to fine-tune the AI's knowledge base for these two offerings, ensuring the AI had the deepest, most accurate information to answer detailed prospect queries. While documentation for additional services was provided, the AI's primary expertise was concentrated here for maximum impact during the MVE.</p><p>A critical design output was the <strong>AI Logic Sheet</strong>, which dictated the AI's conversational flow. This sheet defined how the system would recognise key phrases, select between short, direct answers or longer, detailed responses, and present one of three main CTAs (as supported by WhatsApp templates).&nbsp;</p><p>We also designed the rich-media promotional messages used for outreach, including the image thumbnail, embedded link, and selectable button or quick-reply responses for the end-user. This approach ensured conversations were productive, compliant, and always drove toward conversion.</p>","","","","","","","false",""
"a-first-ever-digital-checkout-flow-for-bt-business-broadband-renewal-products","false","BT's digital checkout","rgb(85, 20, 180)","Commercial","https://framerusercontent.com/images/On03RaXpcJGZZXnBX9SlltOPq74.png","BT Business logo white","1","https://framerusercontent.com/images/BBkNHCINpSboR4QoFdyT6GWRjA.png","","https://framerusercontent.com/images/RHTQXfFaR1QpM1UEZ5ksTqqr0XM.png","Mockup of BT Renew Checkout Landing Page","false","true","true","true","1","https://framerusercontent.com/images/DoUEU9ODoRe40yWRYcbewVSUgI.png","Render mockup of BT Business Renewal and start of the new digital serve checkout","Designing BT Business’s first self-serve checkout","<p dir=""auto"">The BT Business Digital Checkout is helping transform how customers renew and purchase broadband services, reducing friction and improving transparency. </p><p dir=""auto"">The user journey designed enables more customers to self-serve, while aligning with complex business, regulatory, and technical requirements across BT’s stack.  </p><p dir=""auto"">The new checkout is now live in beta and supporting the wider One Business platform goals of consistency and conversion uplift.</p>","Customers had to manually complete a ""Get in touch"" form in order to renew their business broadband","https://framerusercontent.com/images/CFzCRo0FMjSJrMdaRrhQDKQiiVQ.png","","<p dir=""auto"">This created friction for digitally-savvy customers, limited online conversion opportunities, and increased operational overhead.</p><p dir=""auto"">The challenge: design a fully self-serve buying flow that would enable customers to:</p><ul dir=""auto""><li data-preset-tag=""p""><p>Select a product</p></li><li data-preset-tag=""p""><p>Configure options</p></li><li data-preset-tag=""p""><p>Complete checkout online</p></li><li data-preset-tag=""p""><p>Receive order confirmation — without offline intervention.</p></li></ul><p dir=""auto"">The solution had to be intuitive, legally compliant, and scalable for additional products in the future.</p>","Developing a strategic API driven platform","Building alignment across design & engineering","<p dir=""auto"">The existing BT Business sales flow relied on Pega-based recommendations and pricing, but the new checkout experience needed to run on the emerging Velocity platform used across BT Group’s One Business programme.</p><p dir=""auto"">We engaged in common capability discussions to ensure price accuracy and consistency between the Pega-driven landing pages and the Velocity checkout basket. A new pricing API was developed to surface consistent basket totals across both experiences, eliminating pricing mismatches and ensuring customer trust at checkout.</p><p dir=""auto"">This collaborative approach enabled the design to stay consistent while supporting a more future-proofed technical architecture</p>","https://framerusercontent.com/images/ehBEL9u9tk23UvekBSaVpsyHTFY.png","","https://framerusercontent.com/images/ujHnBkPVYhWSwNkNxZAXtl6tUUo.png","","Designing and delivering a flexible, scalable checkout flow tailored to real user journeys and BT’s business requirements","<p dir=""auto"">To ensure technical accuracy, we collaborated with platform architects to scope a new <strong>basket pricing API</strong>. This synchronised checkout pricing with earlier landing page offers, solving a critical customer trust issue.</p>","<h3 dir=""auto"">Key features</h3><p dir=""auto""><strong>Renewals &amp; OTP:</strong> Customers select packages and verify identity via a streamlined OTP process.</p><p dir=""auto""><strong>Smart Logic:</strong> Pre-filled details ensure speed, while sensitive changes are routed to ""My Account"" for security. Delivery steps are skipped automatically if no hardware is required.</p><p dir=""auto""><strong>Compliant Payment:</strong> Collaborated with legal/finance teams to launch a compliant, Direct Debit-first payment step.</p><p dir=""auto""><strong>Unified Post-Purchase:</strong> A ""Thank You"" page aligned with BT’s Omnichannel patterns for a consistent cross-device experience.</p><p dir=""auto""><br class=""trailing-break""></p>","Increased conversion","3.5x","Increased conversion","Total revenue generated in 2024/25 FY","£3.3m","false",""
"welcome-aboard","false","Mind's graduate onboarding","rgb(21, 0, 199)","Charity","https://framerusercontent.com/images/K15aziLfO5kiIJ6WONerUVADL4.png","Mind logo white","2","https://framerusercontent.com/images/clIuT18G2iIkFS6SNgCFDlKp4.png","","https://framerusercontent.com/images/OfHNih3L5PNzB7iuu2d0KyVAPc.png","","false","true","true","true","2","https://framerusercontent.com/images/KMpil3YTapxJcllz8veRCoa8Fs.png","","Supporting graduates in their early career transition","<p><strong>Welcome aboard,</strong> is a white-label service pattern and digital experience concept developed in collaboration with the mental health charity <a href=""https://www.mind.org.uk/"" target=""_blank""><strong>Mind</strong></a>. Designed specifically for young people transitioning from university into graduate or apprenticeship schemes, it serves as a template for companies to better integrate new recruits. </p><p>By applying Mind's mental well-being principles, the service helps facilitate a smoother adjustment into the professional working environment and proactively looking out for their mental wellbeing. </p>","Uncovering the student to professional overwhelming transition period","https://framerusercontent.com/images/qD59K0sH9MaEc0xlcHbP15K9k1Y.png","","<p>The development of <strong>Welcome Aboard </strong>was informed by research presented at the <strong>Mind community centre in Newcastle</strong>, which highlighted how the overwhelming shift into professional life often triggers a ""downward spiral"" of anxiety and poor sleep hygiene. </p><p>The service specifically targets the emotional communication gap often found in men, providing a mentorship <em>gateway</em> that encourages individuals to<em> off-load</em> burdens rather than suppressing them. </p><p>By training managers to become volunteer mentors, the programme ensures that the support provided is grounded in professional mental health techniques that help graduates gain perspective and navigate the nerves of a new career.</p>","User journey mapping","Blueprinting the ""To Be"" user journey","<p dir=""auto"">After analysing a range of onboarding experience interview with graduates, we outlined the key pain-points with key moments of truth where opportunities for growth, development and coaching. </p><p dir=""auto"">The ""To-be"" user journey was co-created with stakeholders in Mind, corporate sector and end users to refine the journey and establish the front and backstage systems.  </p>","https://framerusercontent.com/images/FKamNPynDaKJhaARfrhrch5atUk.png","","https://framerusercontent.com/images/px5LuOaQAuA1Bfssg4x88rydRo0.png","","Welcome aboard provides a supportive, multi-device onboarding experience","<p dir=""auto""><strong>Welcome Aboard.</strong> is a generation-specific, white-label digital solution developed with <strong>Mind</strong> to support the ""Youth Inc."" transition from university to work. Recognising that this generation is mobile-first, the concept centres on a native app that integrates onboarding across a single platform to reduce the stress of fragmented corporate systems. </p><p dir=""auto"">By downloading the app before their start date, recruits can meet their mentor early, settle nerves, and begin their professional journey with a human-centred foundation.</p>","<h3 dir=""auto""><strong>Key Features</strong></h3><h6 dir=""auto""><strong>Mobile-First Native App:</strong> </h6><p dir=""auto"">Features daily <strong>mood check-ins</strong>, a personalised <strong>to-do list</strong>, and direct <strong>mentor chat</strong> to simplify the transition and facilitate early connection.</p><h6 dir=""auto""><strong>6-Month Mentorship Programme:</strong> </h6><p dir=""auto"">Structured support involving Mind-trained mentors allows for earlier detection of issues and provides essential emotional ""off-loading"".</p><h6 dir=""auto""><strong>White-Label Digital Hub:</strong> </h6><p dir=""auto"">A customisable company portal serving as a single source of truth for all essential professional information.</p><h6 dir=""auto""><strong>Social &amp; Sustainable Growth:</strong> </h6><p dir=""auto"">Tools like ""Conversation Starters"" build immediate social bonds, creating a lifecycle where mentees eventually train to become mentors themselves.</p>","Mentor-led onboarding schemes like Welcome aboard can help increase","82%","Increased retention","Employees who feel ""welcomed and valued"" (the core mission of Welcome Aboard) are more likely to have","2.6x engagement in workplace","false",""
"community-branded-launch-campaign","false","KEYS Community","rgb(255, 193, 2)","Commercial","https://framerusercontent.com/images/DjzyKUa8Xkr9oQYKajHbRcZDTOI.png","KEYS logo white","3","https://framerusercontent.com/images/VVsWhLX4VX7qsdSClbisfAQFzE.png","","https://framerusercontent.com/images/9hitZPZgRsu0ExlX0tphm2g5SUU.png","","false","true","true","true","2","https://framerusercontent.com/images/9hitZPZgRsu0ExlX0tphm2g5SUU.png","","Community branded launch campaign","<p dir=""auto"">After a successful Phase 1 launch, <a href=""https://www.keyscommunity.co.uk/"" target=""_blank"">KEYS</a> enlisted Studio Soren to become their dedicated design team, with a core focus on visual content design. <br><br>We were a pivotal partner in crafting a new brand look and feel, ensuring it truly resonated with their mission. <br><br>The retainer ask was a significant undertaking: to create a high volume of visual content. Specifically, three posts a week, including two individual impact posts and one feature-based carousel with a minimum of five creatives. <br><br>This was a big task, as the content needed to be adaptable across a wide range of channels, including LinkedIn, Instagram, TikTok, and even their website blogs.</p>","KEYS' design language needed to evolve beyond their app interface","https://framerusercontent.com/images/rBToXXo3GZ2HzWnM3XHR4xtu2w.png","User interface of previous designs for onboarding experience","<p dir=""auto"">After a successful collaboration designing KEYS' app preview screens. We need to help them with their visual language across social media platforms such as Linkedin, Instagram and Tik Tok.</p><p dir=""auto""><br class=""trailing-break""></p>","Building a scalable brand system","Visual templates for easy re-use and variety","<p dir=""auto"">We worked with KEYS' content and product design team to establish a constant stream of content based on our templated visual design system.</p><p dir=""auto"">Below we iterated and developed a range of style options which leaned more towards a hybrid and people focused graphic style to show the power of community and ease of use of the platform. </p>","https://framerusercontent.com/images/mACihhHMAQXAWNIrxn3RGmzbVo.png","Templated social media iterative design carousels","https://framerusercontent.com/images/YikYScUfdWgmvxdMVc5kvlBXI.png","Examples of KEYS social media posts","Delivering high impact content via weekly design sprints","<p dir=""auto"">At <a href=""/"" target=""_blank"">Studio Soren</a>, our ability to deliver high-quality, impactful content is a direct result of our highly collaborative and agile environment. <br><br>Our designers are incredibly talented and fast, allowing us to produce compelling, storytelling visuals that are always close to the latest design trends. We work closely with our content designers to ensure every creative is not just visually appealing but also communicates new features and brand stories with clarity and purpose.</p>","<h3 dir=""auto"">Key weekly deliverables</h3><ul dir=""auto""><li data-preset-tag=""p""><p>1 x 5 Slide Carousel</p></li><li data-preset-tag=""p""><p>2 x Single posts</p></li></ul><h3 dir=""auto"">Additional on-off projects</h3><ul dir=""auto""><li data-preset-tag=""p""><p>New concepts for App preview screens</p></li><li data-preset-tag=""p""><p>Brand Strategy</p></li><li data-preset-tag=""p""><p>AI Integration workshops and coaching</p></li></ul>","Increase in LinkedIn followers ","200%","Increase in LinkedIn followers ","Increased conversion on social media","3.3x","false",""
"a-seamless-digital-upgrade-experience-for-vulnerable-telecare-users","false","The CareLink App","rgb(255, 0, 212)","Commercial","https://framerusercontent.com/images/qgmWbBvqV1O3fkzqTtYY7a0NRrY.png","BT Group Logo white","4","https://framerusercontent.com/images/cwe6o1Tu0SD7d4zwVf0uMPUvE.jpg","","https://framerusercontent.com/images/2pErINDwWm73at67WTKUNskU.png","","false","true","true","true","2","https://framerusercontent.com/images/QwpLpXr9YPXzM2tlteONSmAUhRA.png","Onboarding render of the CareLink App","A seamless digital migration for the vulnerable","<p dir=""auto"">In 2025, the UK’s digital transition threatened to disconnect vulnerable telecare users. <strong>Studio Soren’s</strong> founder led a team at BT Group to design a <strong>North Star vision</strong> for the renewal migration experience, creating a blueprint to protect elderly and disabled customers. </p><p dir=""auto"">By uncovering safety gaps through research, they established a human-centered strategy and a fail-safe system, ensuring national infrastructure shifts never compromised life-saving emergency connectivity.</p>","In the UK up to 2M vulnerable people were at risk of losing emergency phone line connection","https://framerusercontent.com/images/4FIIVCh5XyWClfveksgQbWYJSo.png","","<p dir=""auto"">The digital upgrade introduced significant risks for vulnerable customers, including the elderly and disabled, who rely on analog lines for critical telecare services like pendant alarms and lifeline monitors. Recognising the potential impact on their safety, I focused on designing solutions to ensure uninterrupted connections during the UK-wide transition.</p><p dir=""auto"">To understand the full scope, we spoke directly to telecare users and engaged with insurance companies like <strong>Aviva</strong> and <strong>AIG</strong> to learn what steps they were taking for the migration. To our surprise, many were doing very little or had little knowledge about the risks. This realisation gave me a deep sense of responsibility to ensure these customers wouldn’t lose access to life-saving services, as the threat of losing connectivity could have life-threatening consequences.</p>","API Innovation","CareLink’s program interfaces were developed with Openreach’s technical artchitects","<p dir=""auto"">This collaboration helped build a catalog of compatible telecare devices within BT Business’s backend system, ensuring secure buy-in from key stakeholders.</p><p dir=""auto"">One key decision we made was focusing on <strong>CareLink’s API innovation</strong>, allowing telecare customers to easily check if they required an engineer visit to secure their connectivity. The simplicity of this approach not only met user needs but also streamlined the process for both users and support teams.</p><p dir=""auto"">This diagram outlines how the new APIs would be developed, ensuring that the <strong>telecare device checker</strong> could function smoothly, which was crucial for maintaining uninterrupted service during the UK-wide network upgrade.</p>","https://framerusercontent.com/images/pZwKzkO3INTWEgQ7YGrKyiqAFEU.png","","https://framerusercontent.com/images/2pErINDwWm73at67WTKUNskU.png","Happy BT Agent","Enhanced agent support & prioritised care","<p dir=""auto"">The concept for CareLink was to transforming the agent desktop by introducing the ability to tag and categorise vulnerable customers, enabling BT agents to deliver more personalised support. This development is streamlining workflows and laying the foundation for a smoother transition to digital landlines, ultimately enhancing future services for both residential and business customers.</p><blockquote><h5 dir=""auto"">Keeping our vulnerable customers connected and protecting their safety is critical as we create new digital products and experiences.</h5></blockquote><p dir=""auto"">Tim Carter, BT Design Lead</p>","<h3 dir=""auto"">Key Features</h3><p dir=""auto"">A user-friendly in-app experience was designed to support vulnerable broadband customers through a critical digital line upgrade. The solution includes:</p><p dir=""auto""><strong>Home Screen Alert</strong> - A prominent widget informs users about the migration and its implications.</p><p dir=""auto""><strong>Onboarding Explainer</strong> - A clear guide walks users through the upgrade process.</p><p dir=""auto""><strong>Device Checker</strong> - API-powered checks ensure device compatibility.</p><p dir=""auto""><strong>Engineer Booking</strong> - Non-compatible devices trigger an option to schedule an engineer visit.</p><p dir=""auto""><strong>Confirmation</strong> - Engineer appointments are confirmed, with follow-up steps like recycling old devices introduced.</p><p dir=""auto"">This streamlined approach ensures a seamless and supportive user experience.</p>","Emergency line users positively impacted","1.8M","Vulnerable customers impacted","Lead carers and vulnerable decision makers being made aware","1.2k per week","false","https://youtu.be/Kf3M-Rk3Aok"
"pioneering-a-multi-sensory-digital-showroom-for-ee-s-new-marketplace","false","EE Retail Kiosk Experience","rgb(0, 155, 165)","Commercial","https://framerusercontent.com/images/LORvV0u9mW3YlzyOVN7j7XEsoM.png","","5","https://framerusercontent.com/images/4e5Z2T98AlMLf5O6WZSEe6iyD8.png","","https://framerusercontent.com/images/gUFfGAVni6GADy7eag1QN3gOjCM.png","","false","true","true","true","2","https://framerusercontent.com/images/5fgUxbHqDJOl5fSZkUOQRqbl3Y.png","EE Kiosk Design Concept in in a flagship retail store","Pioneering a Multi-Sensory Digital Showroom for EE's new Marketplace","<p>Studio Soren collaborated with a dynamic team of Service Designers, Product Managers, Developers, and the EE Retail Design and Marketing teams to tackle the challenge of securing funding for a groundbreaking retail self-service concept. </p><p>This initiative was a prime opportunity to use strategic design to redefine the in-store experience, aligning seamlessly with EE's goal of 'winning in new markets.'</p>","Introducing a Multi-Sensory Experience","https://framerusercontent.com/images/73yR8TOby54bZAOWRfERxsOgk.png","IoT connected retail app to help customers live in-store","<p dir=""auto"">The mission was to introduce an exciting, multi-sensory experience for customers exploring EE's expanding world of consumer electronics.</p><p dir=""auto""> Our <strong>user-centred design</strong> approach aimed for efficiency, discoverability, and immersive showcasing. </p><p dir=""auto"">The target persona, the ""soft purchaser,"" symbolised the high-footfall customer eager to embrace the latest in consumer electronics. The core challenge was to design a concept that would redefine the in-store experience and demonstrate its value to stakeholders.</p>","Bridging the gap between physical and digital journeys","Before investing in high-fidelity prototyping, we rapidly iterated on the user journey to validate our core concepts.","<p dir=""auto"">Through multiple rounds of storyboarding, we mapped out the user flow to define seamless transitions across various touchpoints. Our goal was to visualize how a user would navigate the ""phygital"" landscape:</p><ul dir=""auto""><li data-preset-tag=""p""><p><strong>Customer researching at home:</strong> Initial interest in products sold at EE alongside their plans.</p></li><li data-preset-tag=""p""><p><strong>Physical Retail Space:</strong> Initial entry and environmental engagement.</p></li><li data-preset-tag=""p""><p><strong>Human Interaction:</strong> Consulting with staff members for expert advice.</p></li><li data-preset-tag=""p""><p><strong>Self-Service Touchpoints:</strong> Checking in via interactive kiosk screens.</p></li><li data-preset-tag=""p""><p><strong>Extended Range Browsing:</strong> Exploring products not currently stocked on the showroom floor.</p></li><li data-preset-tag=""p""><p><strong>Mobile Conversion:</strong> Completing the purchase journey directly through their smartphone.</p></li></ul><p dir=""auto"">By the time we reached the final solution, we had established a perfect <strong>harmony between physical and digital spaces</strong>, ensuring the technology felt like a natural extension of the in-store experience rather than a distraction from it.</p>","https://framerusercontent.com/images/Iu9aqnAQIVzj8j60XPLJeoyjAk.png","Storyboard of the magic wall concept","https://framerusercontent.com/images/0L6hzossV6X59RCxpsEzgqKkVI.png","","Building a multi-sensory prototype using Figma x Protopie","<h3 dir=""auto"">Connecting Digital Interfaces to Physical Environments</h3><p dir=""auto"">Our prototyping phase focused on ""Real-Tech"" validation. By linking <strong>Figma</strong> and <strong>ProtoPie</strong> to physical <strong>LED lighting and sound systems</strong>, we moved beyond simple screens to create a truly multi-sensory environment.</p><h3 dir=""auto"">The Prototyping Ecosystem:</h3><ul dir=""auto""><li data-preset-tag=""p""><p><strong>Figma to ProtoPie:</strong> We utilized Figma for high-fidelity UI design, then moved into ProtoPie to handle complex logic, sensor integration, and hardware communication.</p></li><li data-preset-tag=""p""><p><strong>Multi-Sensory Triggers:</strong> We integrated ProtoPie’s voice transcription to simulate Siri-style control, allowing users to adjust in-store lighting and sound through natural language.</p></li><li data-preset-tag=""p""><p><strong>Physical Feedback Loops:</strong> The prototype didn't just show a change on screen; it triggered actual LED shifts and sound nesting to signal successful interactions.</p></li></ul>","<h3 dir=""auto"">Testing &amp; Multi-Sensory Integration</h3><p dir=""auto"">We validated the ""phygital"" experience using <strong>Figma</strong> and <strong>ProtoPie</strong>, linking digital UIs to physical <strong>LED lighting and sound systems</strong>. Testing followed a two-tier approach: an internal alpha with 5 participants, followed by live beta testing with 10 customers at our <strong>Oxford Street flagship</strong> to stress-test the ""Magic Wall"" against real-world noise and lighting.</p><h3 dir=""auto"">Key Technical Deliverables:</h3><ul dir=""auto""><li data-preset-tag=""p""><p><strong>Voice-Activated Environments:</strong> Used ProtoPie’s transcription to trigger physical responses (light/temp/audio).</p></li><li data-preset-tag=""p""><p><strong>The ""Magic Wall"" Handover:</strong> QR-triggered data transfer from public kiosk to private mobile checkout.</p></li><li data-preset-tag=""p""><p><strong>Hardware Syncing:</strong> Real-time communication between ProtoPie and external APIs for physical feedback.</p></li></ul><h3 dir=""auto"">The Strategic Pivot: Saving Business Capital</h3><p dir=""auto"">After this 6-month deep dive, our primary result was the recommendation <strong>not to pursue the concept.</strong> Testing revealed that environmental factors and high scaling costs outweighed the CX benefits. By identifying these barriers through high-fidelity prototyping rather than a full-scale rollout, we <strong>saved the business significant capital and technical debt</strong>, allowing funds and engineering resources to be redirected toward higher-priority, proven initiatives.</p>","Investment saved","£2.3M","Investment saved","Customers found the experience beneficial","50%","false",""
"the-digital-connection-hub","false","Kindred","rgb(34, 172, 198)","Non-profit","https://framerusercontent.com/images/ZER9wKKgx5gHL8sEqkQBLCiBd4.png","Wellburn logo white","6","https://framerusercontent.com/images/7DU3kVzK76sIphlXq3YQ3NRSo.jpg","","https://framerusercontent.com/images/od365oMvoBfcynUpwSBTyoXnHks.png","","false","true","true","true","2","https://framerusercontent.com/images/od365oMvoBfcynUpwSBTyoXnHks.png","","Reducing Loneliness for the Ageing Population","<p>Studio Soren undertook a pro-bono initiative to address the Agile Ageing brief based on insight from <a href=""https://www.ageuk.org.uk/"" target=""_blank"">Age UK</a> in 2016, a challenge focused on improving the quality of life and ""mental agility"" for the ""third age"". </p><p>We focused our conceptual work on the North East of the UK, conducting deep ethnographic research at care facilities in Gateshead and Gosforth. The goal was to combat the ""Indoor Isolation"" crisis by finding new ways to maintain autonomy and motivation in an ageing population.</p>","In 2016 we identified 1M residents will live with dementia due to loneliness by 2025","https://framerusercontent.com/images/VDmZOx78fuD6DuViMFqUnyfiA.png","","<p>Our investigation revealed the highly restrictive nature of care environments, where rooms are often limited to a national minimum of <strong>100 square feet</strong>, creating a safe but confined world for the resident. </p><p>While communal spaces exist, residents who lack mobility, such as those using <strong>zimmer frames</strong> or those who lack regular family visits are at high risk of total isolation. These residents are often rarely interacting with others and remain heavily <strong>""swayed by the weather""</strong> regarding any outdoor movement.</p><p>Our ethnographic research, which included interviewing a <strong>102-year-old resident</strong> and various care staff, showed that <strong>1/3 of people in care homes</strong> already live with dementia and spend <strong>10 hours or more sitting</strong> each day. These insights presented a clear opportunity to integrate <strong>digital interactivity</strong> and <strong>nudge theory</strong> into daily routines. </p><p>By using connectivity to combat loneliness, we identified that <strong>73% of seniors</strong> enjoy taking photos and <strong>50% are already familiar</strong> with digital concepts like ""selfies"". This data shaped our transition to a digital-first approach, using constant connectivity and interactive prompts as the primary tools to maintain mental agility and social bonds.</p>","In-Life Concept Testing","Partnering with caregivers and residents to refine the experience","<p dir=""auto"">To bridge the gap between digital theory and care home reality, we partnered with <strong>Abbeyfield</strong> and <strong>Wellburn</strong> homes in Gosforth and Gateshead. By immersing ourselves in their daily routines, we moved beyond the studio to conduct workshops and test mock-up models directly with residents and staff. </p><p dir=""auto"">These ""boots-on-the-ground"" sessions helped me develop Kindred's  experience to focus on what truly mattered: relatable, simple products for busy carers and meaningful prompts that motivate residents to head outdoors.</p><blockquote><p dir=""auto"">""You’ve got to have something to get you out of bed."" </p></blockquote><p dir=""auto"">Resident Interview, Care Home Visit</p>","https://framerusercontent.com/images/Pm4ObO5hSpniaMX9zCF8MzfU.png","","https://framerusercontent.com/images/bd6lKO2jaxPTW9Do94V1CJjHYgw.png","","Kindred, a digital home hub to help care home residents stay connected & active","<h3 dir=""auto""><strong>Kindred</strong> is an inclusive digital concept that transforms research-led insights into a seamless interface for the elderly. </h3><p dir=""auto"">By evolving our original photographic scavenger hunt into a permanent digital hub, we provide a vital link between vulnerable residents and the outside world to maintain cognitive health. </p><p dir=""auto"">The platform is designed to remove the technical barriers of traditional social media, focusing instead on high-impact ""memory triggers"" that combat the sedentary risks of indoor isolation.</p>","<h3 dir=""auto""><strong>Key Features:</strong></h3><p dir=""auto""><strong>Social Syncing &amp; Memory Triggers</strong></p><p dir=""auto"">Families can instantly push photos and videos to a resident's hub, creating the visual stimulation proven to improve mental agility.</p><p dir=""auto""><strong>Integrated Care Calendar:</strong> </p><p dir=""auto"">The device syncs with family schedules, allowing residents to see upcoming visits and request time with loved ones, directly addressing the ""loneliness gap"".</p><p dir=""auto""><strong>Digital Scavenger Hunts:</strong></p><p dir=""auto"">Building on our initial geocaching model, gamified ""day trip"" suggestions encourage residents to stay active by completing photography tasks in their local community.</p><p dir=""auto""><strong>Simplified Interface</strong></p><p dir=""auto"">A dedicated, accessible design built for users with limited technical experience or declining motor skills, featuring elements like ""thumb markers"" for easier interaction.</p>","Long term project goal is to help residents maintain the cognitive baseline","20%","longer cognitive baseline","Clinical studies on digital reminiscence show that structured evening interventions like Kindred can reduce agitation","30% decrease","false",""
